id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6591611430616593,0.2723146939847312,1-to-1,0.10365850393043857,-0.1087942663419278,16515.0,1.0,10.842025307341636
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2876929699478417,0.11885259451670038,1-to-1,-0.0018975773068021567,-0.008272198453085668,18093.0,1.0,9.574255793033096
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.518592781711457,0.255199141067721,4-to-1,0.037490255419744024,-0.018678421166225277,19958.0,1.0,19.468997235371624
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7709129288939737,0.6500456006146497,1-to-1,0.2675857521608118,-0.08532118374554994,28648.0,1.0,16.416433351517888
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36424945734588,0.3060586524838771,1-to-1,0.0647215173866238,-0.04034590314998869,26735.0,1.0,9.985706847679083
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6166364382169393,0.4973821265629491,4-to-1,0.4196247809498581,-0.33179232224463245,6429.0,1.0,13.579162605950382
6,Matrix B,WebServer,1.0,0.6901726291402162,0.6980250363758499,0.5628282178238886,4-to-1,0.20259588534505527,0.000781463772555514,23415.0,0.0,9.296544092236015
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7273665617621711,0.5849663040293989,1-to-1,0.10339507436746354,0.16310064086602638,17968.0,0.0,15.656935779456049
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.2617718317237643,0.16821283993102365,4-to-1,1.1889214380038817,0.03488904472696858,8406.0,1.0,15.751621803915059
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5565187674786835,0.3623877336782236,4-to-1,0.22970533755465708,-0.13342368086812081,27455.0,1.0,18.799794096452104
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.294553895043232,0.12746598855620228,2-to-1,-0.018646107435828004,0.020347337591998152,19531.0,0.0,12.454037012200704
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.37110609088770635,0.16059337707059548,2-to-1,0.01527826008675209,0.006808055007534966,27864.0,0.0,14.903275970025552
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7700406156740287,0.325269561911615,2-to-1,0.16006379868444678,-0.10889098685933973,19788.0,1.0,19.153339865427032
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.591899435235281,0.47742913258870195,4-to-1,0.16144231725870442,0.06510416011546104,22644.0,1.0,13.038465323034517
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.2689847849388525,0.11112382786220588,1-to-1,1.1665717740067312,-0.010184991023013939,6349.0,0.0,11.407559115199604
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6529370250217466,0.5822289599255619,2-to-1,0.1625982824814439,-0.19880853681526578,17281.0,0.0,16.278272869565306
16,Matrix A,WebServer,1.0,0.409306522776384,0.43076241555513783,0.38411778418386383,2-to-1,0.18254817799643883,-0.21096685797101497,11648.0,1.0,11.114893530938973
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2636001839279914,0.21635238788597794,2-to-1,0.04735802892172506,-0.15238967694472777,17278.0,1.0,7.588102318692224
18,Matrix A,WebServer,2.0,0.27197601043687214,0.28589346871728827,0.24106773643888035,1-to-1,0.19559569419446948,-0.06244263248764451,12810.0,0.0,11.733405857216574
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.48174592848983067,0.19638509844413576,1-to-1,0.00566311103827951,-0.07918491998901629,22492.0,1.0,15.081173818367605
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.42440217298756777,0.27635751141884735,4-to-1,0.10357349910082901,-0.1427175009992615,28487.0,1.0,19.084166895104772
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26395187509410795,0.11422319397691946,2-to-1,0.15079190404771098,0.013178879717650173,10015.0,0.0,12.00482382300211
22,Matrix C,WebServer,2.0,0.30340988002115266,0.31639692836361577,0.13364787284713586,2-to-1,0.062138569396074116,-0.05794129136187485,19274.0,0.0,15.368692787467303
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.2808672646686301,0.13558122383584428,4-to-1,0.01572938953484991,0.023211340524941674,23596.0,1.0,14.740247727469267
24,Matrix B,WebServer,2.0,0.349409375763963,0.355573105867268,0.2918400487346142,2-to-1,0.06419940740749215,-0.14614780784421727,18725.0,1.0,12.701963351613218
